"%s is not correct comparsion method.","%s is not correct comparsion method."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart."
"Allow Qty Below 0","ยอมให้จำนวนต่ำกว่า 0"
"Allow Qty Below 0 and Notify Customer","ยอมให้จำนวนต่ำกว่า 0 และแจ้งไปยังลูกค้า"
"Backorders","รายการสั่งซื้อล่วงหน้า"
"By Fixed value","ตามค่าคงที่"
"By Percentage","ตามเปอร์เซ็นต์"
"Can not specify product identifier for order item","ไม่สามารถระบุตัวบ่งชี้สินค้าสำหรับรายการคำสั่งซื้อ"
"Catalog Inventory","Catalog Inventory"
"Decrease Stock When Order is Placed","ลดจำนวนสินค้าในสต๊อกเมื่อมีการสั่งคำสั่งซื้อ"
"In Stock","In Stock"
"Inventory","สินค้าในคลังสินค้า"
"Inventory API","Inventory API"
"Inventory Section","Inventory Section"
"Manage Stock","Manage Stock"
"Maximum Qty Allowed in Shopping Cart","จำนวนสูงสุดที่อนุญาตให้มีในรถเข็น"
"Minimum Qty Allowed in Shopping Cart","จำนวนน้อยสุดที่อนุญาตให้มีในรถเข็น"
"No Backorders","ไม่มี รายการสั่งซื้อล่วงหน้า"
"Notify for Quantity Below","แจ้งเตือนเมื่อจำนวนต่ำกว่า"
"Out of Stock","Out of Stock"
"Product Stock Options","Product Stock Options"
"Qty for Items' Status to become Out of Stock","Qty for Items' Status to become Out of Stock"
"Retrieve stock data","Retrieve stock data"
"Retrieve stock data by product ids","Retrieve stock data by product ids"
"Rule price","ข้อกำหนดราคา"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Some of the products are currently out of stock","Some of the products are currently out of stock"
"Some of the products can not be ordered in requested quantity","Some of the products can not be ordered in requested quantity"
"Some of the products cannot be ordered in the requested quantity","Some of the products cannot be ordered in the requested quantity"
"Stock Options","ตัวเลือกคลังสินค้า"
"Stock item for Product in option is not valid","Stock item for Product in option is not valid"
"Stock item for Product is not valid","Stock item for Product is not valid"
"The maximum quantity allowed for purchase is %s.","The maximum quantity allowed for purchase is %s."
"The minimum quantity allowed for purchase is %s.","The minimum quantity allowed for purchase is %s."
"The requested quantity for ""%s"" is not available.","ปริมาณที่ต้องการสำหรับ ""%s"" มีไม่พอ"
"The requested quantity is not available.","ไม่มีสินค้าเพียงพอกับจำนวนที่ระบุ"
"This product is currently out of stock.","This product is currently out of stock."
"To Fixed Value","เป็นค่าคงที่"
"To Percentage","เป็นเปอร์เซ็นต์"
"Update","Update"
"Update product stock data","Update product stock data"
"Update the Product","ปรับปรุงสินค้า"
