"%d Review(s)","%d รีวิว"
"%s Review(s)","%s รีวิว"
"(Posted on %s)","(โพสต์เมื่อ %s)"
"1 star","1 ดาว"
"2 stars","2 ดาว"
"3 stars","3 ดาว"
"4 stars","4 ดาว"
"5 stars","5 ดาว"
"Add New Review","เพิ่มรีวิวใหม่"
"Add Your Review","เพิ่มรีวิวของคุณ"
"Administrator","ผู้ดูแลระบบ"
"All Reviews","รีวิวสินค้าทั้งหมด"
"All reviews of customer `%s`","All reviews of customer `%s`"
"Allow guests to write reviews","Allow guests to write reviews"
"Are you sure you want to do this?","คุณแน่ใจว่าต้องการทำสิ่งนี้?"
"Are you sure?","คุณแน่ใจ?"
"Average Customer Rating","ลูกค้าให้คะแนนเฉลี่ย"
"Average Customer Rating:","ลูกค้าให้คะแนนเฉลี่ย:"
"Back","กลับ"
"Back to Main Product Info","กลับไปยังหน้าหลักข้อมูลสินค้า"
"Back to My Reviews","กลับไปยังรีวิวของฉัน"
"Back to Product Reviews","กลับไปรีวิวสินค้า"
"Be the first to review this product","เป็นคนแรกที่รีวิวสินค้านี้"
"Created On","Created On"
"Customer","ลูกค้า"
"Customer Reviews","รีวิวของลูกค้า"
"Delete","ลบ"
"Delete Review","ลบรีวิวสินค้า"
"Detailed Rating","รายละเอียดการให้คะแนน"
"Edit Review '%s'","แก้ไขรีวิว '%s'"
"Guest","ลูกค้าที่ไม่ได้ลงทะเบียน"
"How do you rate this product?","คุณจะให้คะแนนสินค้านี้อย่างไร?"
"ID","ID"
"Manage Ratings","จัดการ Ratings"
"My Product Reviews","รีวิวสินค้าของฉัน"
"My Recent Reviews","รีวิวสินค้าล่าสุดของฉัน"
"Name","ชื่อ"
"Name In Store","ชื่อในร้านค้า"
"New Review","รีวิวสินค้าใหม่"
"Nickname","ชื่อเล่น"
"Pending Reviews","รีวิวสินค้าที่กำลังตรวจสอบ"
"Pending reviews","รีวิวสินค้าที่กำลังตรวจสอบ"
"Pending reviews of customer `%s`","Pending reviews of customer `%s`"
"Please select a product","กรุณาเลือกสินค้า"
"Please select one of each of the ratings above","กรุณาเลือกให้คะแนน คะแนนใดคะแนนหนึ่งด้านบน"
"Posted By","โพสต์โดย"
"Price","ราคา"
"Product","สินค้า"
"Product Name","ชื่อสินค้า"
"Product Rating","คะแนนสินค้า"
"Product Rating:","คะแนนสินค้า:"
"Product Review (submitted on %s):","รีวิวสินค้า (ยืนยัน เมื่อ %s):"
"Product Reviews","รีวิวสินค้า"
"Product SKU","รหัสสินค้า"
"Qty","จำนวน"
"Rating:","คะแนน:"
"Review","รีวิวสินค้า"
"Review Details","รายละเอียดรีวิวสินค้า"
"Review by %s","รีวิวสินค้าโดย %s"
"Reviews and Ratings","Reviews and Ratings"
"SKU","รหัสสินค้า"
"Save Review","บันทึกรีวิวสินค้า"
"Status","สถานะ"
"Submit Review","ยืนยันรีวิวสินค้า"
"Summary Rating","สรุปคะแนน"
"Summary of Review","สรุปรีวิวสินค้า"
"Summary of Your Review","สรุปผลการรีวิวของคุณ"
"Summary of review","สรุปรีวิวสินค้า"
"Title","หัวข้อ"
"Type","ประเภท"
"Unable to post review. Please, try again later.","ไม่สามารถโพสต์รีวิวสินค้า กรุณาลองใหม่อีกครั้ง"
"Update status","ปรับปรุงสถานะ"
"View All Reviews","ดูทุกรีวิว"
"View Details","ดูรายละเอียด"
"Visible In","สามารถเห็นได้ใน"
"Websites","เว็บไซต์"
"Write Your Own Review","เขียนรีวิวสินค้าของคุณเอง"
"You have submitted no reviews.","คุณไม่ได้ยืนยันรีวิวสินค้า"
"You're reviewing: %s","คุณกำลังรีวิว: %s"
"You're reviewing:","คุณกำลังรีวิว:"
"Your Rating:","คุณให้คะแนน:"
"Your Review (submitted on %s):","รีวิวของคุณ(submit เมื่อ %s):"
"Your review has been accepted for moderation","รีวิวสินค้าของคุณถูกรับไว้ตรวจสอบแล้ว"
"OR","OR"
"My Product Reviews","รีวิวสินค้าของฉัน"
