"Add Recipient","เพิ่มผู้รับ"
"Allow for Guests","อนุญาตสำหรับลูกค้าที่ไม่ได้ลงทะเบียน"
"Email Address","อีเมล์"
"Email Address:","อีเมล์:"
"Email templates","เทมเพลตอีเมล์"
"Email to a Friend","อีเมล์ไปให้เพื่อน"
"Email:","อีเมล์:"
"Enabled","เปิดการใช้งานแล้ว"
"Limit Sending By","จำกัดการส่งโดย"
"Link to a friend was sent.","ลิงค์ไปให้เพื่อนถูกส่งไปแล้ว"
"Max Products Sent in 1 Hour","จำนวนสินค้าสูงสุดที่ส่งไปภายใน 1 ชั่วโมง"
"Max Recipients","จำนวนผู้รับสูงสุด"
"Maximum %d email addresses allowed.","จำนวนอีเมล์สูงสุดที่อนุญาต %d อีเมล์"
"Message:","ข้อความ:"
"Name","ชื่อ"
"Name:","ชื่อ:"
"Recipient:","ผู้รับ:"
"Remove Email","ลบอีเมล์ออก"
"Select email template","เลือกเทมเพลตอีเมล์"
"Send email","ส่งอีเมล์"
"Send product to a friend","ส่งสินค้าไปให้เพื่อน"
"Sender:","ผู้ส่ง:"
"Some emails was not sent","บางอีเมล์ไม่ได้ส่ง"
"Some problems with data.","บางข้อมูลมีปัญหา"
"You cannot email this product to a friend","คุณไม่สามารถส่งอีเมล์สินค้านี้ไปหาเพื่อน"
"You cannot send more than %d times in an hour","คุณไม่สามารถส่งมากกว่า %d ครั้งใน 1 ชั่วโมง"
